address,person,wiki,year,person_year,PAON,Street,Postcode
"1 LAWRENCE ROAD, WEST HAM E13 0QD",Will Thorne,https://en.wikipedia.org/wiki/Will_Thorne,01/01/1987,Will Thorne_1987,1, LAWRENCE ROAD,E13 0QD
"1 AVONDALE ROAD, PALMERS GREEN N13 4DX",Stevie Smith,https://en.wikipedia.org/wiki/Stevie_Smith,01/01/2005,Stevie Smith_2005,1, AVONDALE ROAD,N13 4DX
"1 BYRON VILLAS, VALE OF HEALTH, HAMPSTEAD NW3 1AR",D. H. Lawrence,https://en.wikipedia.org/wiki/D._H._Lawrence,01/01/1969,D. H. Lawrence_1969,1,,NW3 1AR
"1 PILGRIM'S LANE, HAMPSTEAD NW3 1SJ",Sir William Nicholson,https://en.wikipedia.org/wiki/William_Nicholson_(artist),01/01/2010,Sir William Nicholson_2010,1,S LANE,NW3 1SJ
"1 NETHERHALL GARDENS, HAMPSTEAD NW3 5RS",Beatrice and Sidney Webb,"https://en.wikipedia.org/wiki/Beatrice_Webb,_Baroness_Passfield",01/01/1981,Beatrice and Sidney Webb_1981,1,,NW3 5RS
"1 BROADHURST GARDENS, HAMPSTEAD NW6 3QX",Martina Bergman-Österberg,https://en.wikipedia.org/wiki/Martina_Bergman-%C3%96sterberg,01/01/1999,Martina Bergman-Österberg_1999,1,,NW6 3QX
"1 BRYANSTON SQUARE, MARYLEBONE W1H 8DH",Mustapha Reschid Pasha,https://en.wikipedia.org/wiki/Mustafa_Re%C5%9Fid_Pasha,01/01/1972,Mustapha Reschid Pasha_1972,1, BRYANSTON SQUARE,W1H 8DH
"1 CANONBURY PLACE, CANONBURY N1 2NG",Sir Basil Spence,https://en.wikipedia.org/wiki/Basil_Spence,01/01/2011,Sir Basil Spence_2011,1, CANONBURY PLACE,N1 2NG
"1 ETON VILLAS, CHALK FARM NW1 4SX",Sir John Summerson,https://en.wikipedia.org/wiki/John_Summerson,01/01/2012,Sir John Summerson_2012,1,,NW1 4SX
"16 LANGFORD PLACE, ST JOHN'S WOOD NW8",Dame Laura Knight and Harold Knight and ,https://en.wikipedia.org/wiki/Laura_Knight,01/01/1983,Dame Laura Knight and Harold Knight and _1983,1, LANGFORD PLACE,
"17 PALMERSTON ROAD, WIMBLEDON, LONDON",Hetty King,https://en.wikipedia.org/wiki/Hetty_King,01/01/2010,Hetty King_2010,1, PALMERSTON ROAD,
"189 OLD BROMPTON ROAD, SOUTH KENSINGTON SW5 OBA",Jenny Lind a.k.a. Madame Goldschmidt,https://en.wikipedia.org/wiki/Jenny_Lind,01/01/1909,Jenny Lind a.k.a. Madame Goldschmidt_1909,1, OLD BROMPTON ROAD,
"19 GROVE TERRACE, DARTMOUTH PARK NW5 IPH",Geoffrey Jellicoe,https://en.wikipedia.org/wiki/Geoffrey_Jellicoe,01/01/2009,Geoffrey Jellicoe_2009,1, GROVE TERRACE,
"1 DRAYTON GARDENS, CHELSEA SW10 9RL",Mervyn Peake,https://en.wikipedia.org/wiki/Mervyn_Peake,01/01/1996,Mervyn Peake_1996,1,,SW10 9RL
"1 LAURISTON ROAD, WIMBLEDON SW19 4TL",Robert Graves,https://en.wikipedia.org/wiki/Robert_Graves,01/01/1995,Robert Graves_1995,1, LAURISTON ROAD,SW19 4TL
"1 CARLTON HOUSE TERRACE, ST JAMES'S SW1Y 5AF","George Nathaniel Curzon, Marquess Curzon of Kedleston","https://en.wikipedia.org/wiki/George_Curzon,_1st_Marquess_Curzon_of_Kedleston",01/01/1976,"George Nathaniel Curzon, Marquess Curzon of Kedleston_1976",1, CARLTON HOUSE TERRACE,SW1Y 5AF
"1 STERLING STREET, OFF MONTPELIER SQUARE, KNIGHTSBRIDGE SW7 1HN",Bruce Bairnsfather,https://en.wikipedia.org/wiki/Bruce_Bairnsfather,01/01/1981,Bruce Bairnsfather_1981,1, OFF MONTPELIER SQUARE,SW7 1HN
"1 WHEATLEY STREET, MARYLEBONE W1G 8PS","Charles Wesley , Charles Wesley , and Samuel Wesley ",https://en.wikipedia.org/wiki/Charles_Wesley,01/01/1953,"Charles Wesley , Charles Wesley , and Samuel Wesley _1953",1,,W1G 8PS
"1 ORME SQUARE, BAYSWATER W2 4RS",Sir Rowland Hill KCB,https://en.wikipedia.org/wiki/Rowland_Hill,01/01/1907,Sir Rowland Hill KCB_1907,1, ORME SQUARE,W2 4RS
"1 ORSETT TERRACE, BAYSWATER W2 6AH",Alexander Herzen,https://en.wikipedia.org/wiki/Alexander_Herzen,01/01/1970,Alexander Herzen_1970,1, ORSETT TERRACE,W2 6AH
"1 PEMBROKE COTTAGES, EDWARDES SQUARE, KENSINGTON W8 6HE",Sir William Rothenstein,https://en.wikipedia.org/wiki/William_Rothenstein,01/01/2000,Sir William Rothenstein_2000,1, EDWARDES SQUARE,W8 6HE
"2 PRINCELET STREET, SPITALFIELDS E1 6QH",Anna Maria Garthwaite,https://en.wikipedia.org/wiki/Anna_Maria_Garthwaite,01/01/1998,Anna Maria Garthwaite_1998,2,"PRINCELET STREET,",E1 6QH
"2 BRUNSWICK PLACE, MARYLEBONE NW1 4PN",Frederick Denison Maurice,https://en.wikipedia.org/wiki/Frederick_Denison_Maurice,01/01/1977,Frederick Denison Maurice_1977,2, BRUNSWICK PLACE,NW1 4PN
"2 ALBERT TERRACE, PRIMROSE HILL NW1 7SU",Roger Fenton,https://en.wikipedia.org/wiki/Roger_Fenton,01/01/1991,Roger Fenton_1991,2, ALBERT TERRACE,NW1 7SU
"2 WILDWOOD TERRACE, HAMPSTEAD NW3 7HT",Sir Nikolaus Pevsner,https://en.wikipedia.org/wiki/Nikolaus_Pevsner,01/01/2007,Sir Nikolaus Pevsner_2007,2, WILDWOOD TERRACE,NW3 7HT
"2 DARTMOUTH PARK ROAD, KENTISH TOWN NW5 1SY",Richard D'Oyly Carte,https://en.wikipedia.org/wiki/Richard_D%27Oyly_Carte,01/01/2010,Richard D'Oyly Carte_2010,2, DARTMOUTH PARK ROAD,NW5 1SY
"2 CARLTON GARDENS, ST JAMES'S SW1Y 5AA","Field-Marshal Earl Kitchener of Khartoum, K.G.","https://en.wikipedia.org/wiki/Horatio_Kitchener,_1st_Earl_Kitchener",01/01/1924,"Field-Marshal Earl Kitchener of Khartoum, K.G._1924",2,,SW1Y 5AA
"2 GARBUTT PLACE, MARYLEBONE W1U 4DS",Octavia Hill,https://en.wikipedia.org/wiki/Octavia_Hill,01/01/1991,Octavia Hill_1991,2, GARBUTT PLACE,W1U 4DS
"2 GOWER STREET, BLOOMSBURY WC1E 6DP",Millicent Garrett Fawcett,https://en.wikipedia.org/wiki/Millicent_Garrett_Fawcett,01/01/1954,Millicent Garrett Fawcett_1954,2,,WC1E 6DP
"2 MANCHESTER SQUARE, MARYLEBONE W1U 3PA",Sir Julius Benedict,https://en.wikipedia.org/wiki/Julius_Benedict,01/01/1934,Sir Julius Benedict_1934,2, MANCHESTER SQUARE,W1U 3PA
"2 PALACE GREEN, KENSINGTON W8 4QB",William Makepeace Thackeray,https://en.wikipedia.org/wiki/William_Makepeace_Thackeray,01/01/1887,William Makepeace Thackeray_1887,2,,W8 4QB
"2 RICHMOND TERRACE, WHITEHALL SW1A 2NJ",Sir Henry Morton Stanley,https://en.wikipedia.org/wiki/Henry_Morton_Stanley,01/01/1987,Sir Henry Morton Stanley_1987,2, RICHMOND TERRACE,SW1A 2NJ
"2 WARRINGTON CRESCENT, MAIDA VALE W9 1ER",Alan Turing,https://en.wikipedia.org/wiki/Alan_Turing,01/01/1998,Alan Turing_1998,2, WARRINGTON CRESCENT,W9 1ER
"2 WHITEHALL COURT, WESTMINSTER SW1A 2EJ",Mansfield Smith-Cumming,https://en.wikipedia.org/wiki/Mansfield_Smith-Cumming,01/01/2014,Mansfield Smith-Cumming_2014,2, WHITEHALL COURT,SW1A 2EJ
"22 LYSONS ROAD, ALDERSHOT, HAMPSHIRE",Arthur English,https://en.wikipedia.org/wiki/Arthur_English,01/01/2017,Arthur English_2017,2, LYSONS ROAD,
"23 HEDDON STREET, LONDON",Ziggy Stardust,https://en.wikipedia.org/wiki/The_Rise_and_Fall_of_Ziggy_Stardust_and_the_Spiders_from_Mars,01/01/2012,Ziggy Stardust_2012,2,,
