,address,person,wiki,year
0,"4 Ealing Road Wembley HA0 4TL, ",Sir Henry Cooper OBE KSG   ,https://en.wikipedia.org/wiki/Henry_Cooper,2018-01-01
1,"Mumbles Pier, Swansea, Wales, ",Jessie Ace and Margaret Wright,https://en.wikipedia.org/wiki/Jessie_Ace_and_Margaret_Wright,2016-01-01
2,"Lumford HouseBakewell, Derbyshire, ",Richard Arkwright junior   ,https://en.wikipedia.org/wiki/Richard_Arkwright_junior,2011-01-01
5,"Tennal HouseTennal Road, Birmingham, ",Francis William Aston   ,https://en.wikipedia.org/wiki/Francis_William_Aston,2007-01-01
8,"Shentall Memorial GardensChesterfield, Derbyshire, ",Olave Baden-Powell   ,https://en.wikipedia.org/wiki/Olave_Baden-Powell,2011-01-01
9,"Manor Cottage, York Museum Gardens, York., ",Henry Baines   ,https://en.wikipedia.org/wiki/Henry_Baines_(botanist),2018-01-01
13,"Daisy Hill Hospital, Newry, Northern Ireland, ",Elizabeth Bell    ,https://en.wikipedia.org/wiki/Elizabeth_Bell_(doctor),2016-01-01
24,"Elmton, Derbyshire, ",Jedediah Buxton   ,https://en.wikipedia.org/wiki/Jedediah_Buxton,2011-01-01
25,"17 Palmerston RoadWimbledon, London, ",Hetty King   ,https://en.wikipedia.org/wiki/Hetty_King,2010-01-01
26,"""Goldings"", Clays Lane, Loughton, Essex, ",Everard Calthrop   ,https://en.wikipedia.org/wiki/Everard_Calthrop,2008-01-01
33,"Blenheim Road, Minehead, Somerset, ",Arthur C. Clarke,https://en.wikipedia.org/wiki/Arthur_C._Clarke,2001-01-01
37,"Havelock Building, 130 Bold Street, Liverpool L1 4JA (birthplace), ",Sebastian de Ferranti    ,https://en.wikipedia.org/wiki/Sebastian_de_Ferranti,2016-01-01
45,"22 Lysons RoadAldershot, Hampshire, ",Arthur English   ,https://en.wikipedia.org/wiki/Arthur_English,2017-01-01
51,"Old Rectory, Ashby Road,Netherseal, ",Nigel Gresley   ,https://en.wikipedia.org/wiki/Nigel_Gresley,2013-01-01
52,"Swansea Railway Station, High Street, Swansea, SA1 1NU, ",Pete Ham,https://en.wikipedia.org/wiki/Pete_Ham,2013-01-01
58,"Inorganic Chemistry Laboratory, Oxford OX1 3QR, ",Allen Hill,https://en.wikipedia.org/wiki/Hugh_Allen_Oliver_Hill,2012-01-01
64,"Ebenezer Chapel, Ebenezer Street, Swansea, SA1 5BJ, ",Griffith John,https://en.wikipedia.org/wiki/Griffith_John,2013-01-01
67,"Okeover ManorClapham Common Northside, London, ",Marie Kendall   ,https://en.wikipedia.org/wiki/Marie_Kendall,2011-01-01
69,"Birmingham and Midland Institute, Cornwall Street, Birmingham, ",Albert Ketèlbey    ,https://en.wikipedia.org/wiki/Albert_Ket%C3%A8lbey,2002-01-01
72,"Main Street, Hathersage,Derbyshire, ",George Herbert Lawrence   ,https://en.wikipedia.org/w/index.php?title=George_Herbert_Lawrence&action=edit&redlink=1,2013-01-01
78,"Wolstanton, Newcastle-under-Lyme, Staffordshire, ",Sir Oliver Joseph Lodge FRS,https://en.wikipedia.org/wiki/Oliver_Joseph_Lodge,2007-01-01
79,"Kinder RoadHayfield, Derbyshire, ",Arthur Lowe   ,https://en.wikipedia.org/wiki/Arthur_Lowe,2011-01-01
90,"90 Wardour Street, Soho, London W1Site of the Marquee Club, ",Keith Moon   ,https://en.wikipedia.org/wiki/Keith_Moon,2009-01-01
95,", ",Florence Nightingale   ,https://en.wikipedia.org/wiki/Florence_Nightingale,2014-01-01
